形态族,族内序号,一致度,任务名,记录类型,操作,判断依据,已知来源,行业,custom_id,我的判断(留空待填)
可检索档案库+详情页,1,1/3,基于WHO/ISH 2019模型的 CVD风险评估与分级管理,体检患者健康筛查记录,筛选+导出,体检中心患者队列数据，类似体检系统患者列表,World Health Organization / International Society of Hypertension (WHO/ISH),医疗卫生 — 临床预防医学与心血,cn-all-remaining-0228-930473c4,
可检索档案库+详情页,2,1/3,中国区多中心启动周会对账、风险分层与跟进闭环,中心启动/eTMF文件记录,搜索+筛选+详情展开+导出,CTMS中心表与eTMF文件库均可查询导出,,医疗卫生、项目助理,cn-all-remaining-0709-411a7a8e,
可检索档案库+详情页,3,2/3,受制裁主体交易对手筛查与所有权穿透判定：从别名噪声与股权登记到可复核的阻断决定,受制裁主体/交易对手记录,搜索+筛选+导出+跨表关联,制裁名单、股权登记、交易台账记录,,国际政治经济学,cn-all-remaining-0021-e1224663,
可检索档案库+详情页,4,2/3,Sentinel-2 影像子区地表覆盖分类,Sentinel-2影像产品,搜索+筛选+导出,数据来源标注为可检索下载的卫星影像数据门户,Sentinel-2,科学类,cn-all-remaining-0183-f366890f,
可检索档案库+详情页,5,2/3,IPO 可比公司筛选与估值定价,上市公司财务与业务标签记录,搜索+筛选+导出,28家公司财报面板数据，可按财务指标筛选比较,中创新航 (CALB),证券投资,cn-all-remaining-0379-fa0f25f9,
可检索档案库+详情页,6,2/3,报告文件下载链路说明与模拟验证,报告下载请求记录,搜索+筛选+翻页+导出,报告状态与文件清单类下载中心记录,,企业文件服务,cn-all-remaining-0518-b6641c0c,
可检索档案库+详情页,7,2/3,构建 FAA Part 77 机场障碍物净空筛查与控制障碍物对账数据产品,机场跑道端与障碍物记录,搜索+筛选+详情展开+导出,标注数据门户，NASR/DOF按机场跑道查询,FAA National Airspace System Resources (NASR),航空工程 / 机场 GIS / ,cn-all-remaining-0632-5b302678,
可检索档案库+详情页,8,2/3,构建 FAA 2608 仪表进近跑道就绪度与程序一致性审计产品,机场跑道与仪表进近程序记录,搜索+筛选+详情展开+导出,标注数据门户，NASR按机场程序编号查询,FAA National Airspace System Resources (NASR),航空数据工程 / 仪表进近程序 ,cn-all-remaining-0633-f8c6a3ac,
可检索档案库+详情页,9,2/3,酒店预订结算核验对账与发布封板审计,酒店预订记录,搜索+筛选+翻页+详情展开+导出,预订/结算记录，同构可按房型日期筛选导出,,酒店 / 住宿,cn-all-remaining-0973-7a1c435c,
可检索档案库+详情页,10,2/3,物业费核验对账与发布封板审计,物业账单记录,搜索+筛选+翻页+详情展开+导出,业主物业费账单，同构可按户号筛选导出,,物业管理 / 房地产,cn-all-remaining-0974-4790d8bf,
可检索档案库+详情页,11,2/3,MSHA 2024-H2 Impact Inspection Enforcement and Adjudication Audit,矿山检查/违规/评估/诉讼记录,搜索+筛选+详情展开+导出,MSHA矿山数据检索系统的可查询执法记录,Mine Safety and Health Administration (MSHA),Government / Min,cn-all-remaining-1099-a6550f2f,
可检索档案库+详情页,12,2/3,NHTSA Recall Campaign Completion Lifecycle Audit,NHTSA召回活动记录,搜索+筛选+详情展开+导出,NHTSA召回数据库可按活动/年份查询导出,National Highway Traffic Safety Administration (NHTSA) Recalls,Transportation s,cn-all-remaining-1175-e6dc03a4,
可检索档案库+详情页,13,2/3,美加 2024 年消费品召回标识、伤害与补救措施跨境一致性审计,召回案例记录,搜索+筛选+导出+跨表关联,CPSC/Health Canada召回库按产品筛选导出,Consumer Product Safety Commission (CPSC),消费品安全 / 跨境召回监管 /,cn-all-remaining-1177-c31afdfe,
可检索档案库+详情页,14,2/3,DOE-FHWA 电动汽车替代燃料走廊充电站就绪度与缺口拓扑核验,合格电动汽车充电站记录,搜索+筛选+导出+跨表关联,AFDC充电站可按州/字段筛选导出的记录库,DOE Alternative Fuels Data Center (AFDC),交通能源基础设施 / 电动汽车走,cn-all-remaining-1191-c00b9d6f,
可检索档案库+详情页,15,3/3,负热膨胀材料异构结构字段标准化与数据质量审计程序,材料结构记录(化学式/弹性张量/CIF-POSCAR),搜索+筛选+导出,"计算材料数据库条目,与同系列检索API任务同源",,材料科学研究人员,cn-all-remaining-0157-48c5ea38,
可检索档案库+详情页,16,3/3,负热膨胀材料多条件检索与稳定分页 API,负热膨胀材料记录,搜索+筛选+排序+翻页+导出,任务即构建材料记录多条件检索分页API,,材料科学研究人员,cn-all-remaining-0162-c827b242,
可检索档案库+详情页,17,3/3,负热膨胀材料详情数据契约与结构文件安全导出服务,材料详情与结构文件记录,详情展开+导出,同一材料数据库的详情页字段与结构下载契约,,材料科学研究人员,cn-all-remaining-0165-b35850c6,
可检索档案库+详情页,18,3/3,负热膨胀材料数据库交互式可视化网站,材料属性数据库条目,搜索+筛选+排序+翻页+详情展开,材料记录可筛选排序分页查详情,,材料科学研究人员,cn-all-remaining-0170-55cf9dab,
可检索档案库+详情页,19,3/3,构建 NVD/CISA 漏洞情报规范化与时态修复优先级数据产品,CVE漏洞记录/KEV目录条目,搜索+筛选+导出+跨表关联,NVD CVE API与CISA KEV是可按时间窗口查询筛选的漏洞记录库,National Vulnerability Database (NVD),网络安全 / 漏洞情报工程 / ,cn-all-remaining-0207-8b063b46,
可检索档案库+详情页,20,3/3,基于连接组数据生成 Neuroglancer 复杂可视化状态文件,FlyWire神经元(ID/细胞类型/坐标)记录,搜索+筛选+详情展开+导出,FlyWire可浏览搜索的神经元连接组库,FlyWire,计算神经科学,cn-all-remaining-0249-07d18b19,
可检索档案库+详情页,21,3/3,直线电机行业竞争格局与产品进入机会研究,直线电机产品型号规格,搜索+筛选+导出,9家厂商官网目录/产品页汇总的型号参数表,,行业研究；工业自动化与高端装备,cn-all-remaining-0314-df121ac2,
可检索档案库+详情页,22,3/3,长 QT 综合征候选变异的群体频率证据评估,变异等位基因频率记录,搜索+筛选+导出,类gnomAD变异频率数据库，按基因/群体查询,,临床遗传学,cn-all-remaining-0356-d600f1dc,
可检索档案库+详情页,23,3/3,文档库列表补充文件大小与上传提示,文档库文件条目,搜索+筛选+排序+导出,含名称/大小/上传状态，典型文档库UI,,企业知识库前端,cn-all-remaining-0576-f1a9f22f,
可检索档案库+详情页,24,3/3,文档库上传弹窗重构：路由与权限接通核验,文档库文档条目,搜索+筛选+详情展开+导出,文档库文件元数据，典型可浏览文档列表,,前端工程,cn-all-remaining-0591-34a6f98a,
