custom_id,task_name,how,slug,category_name,named_source,source_real,votes,confidence
cn-all-remaining-0001-786f6572,优购女鞋 · 小程序PRD,分类,product-management-software,Product Management Software,,no,2/3,0.37
cn-all-remaining-0002-04d42ced,二次元卡牌游戏通行证系统策划案,分类,x-game-liveops-console,Game Engine Editor / LiveOps Admin Console — 游戏内容编辑器或运营后台,,yes,3/3,0.5
cn-all-remaining-0003-753d9f01,AR眼动追踪VGA传感器微型镜头规格书设计项目,分类,cad-libraries,CAD Libraries,,yes,1/3,0.42
cn-all-remaining-0004-4cdb03e3,旧工业遗存城市更新改造项目综合策划与方案论证,分类,x-regulatory-registry,Regulatory Registry / Compliance Filing Database — 备案与合规申报检索库,,yes,3/3,0.53
cn-all-remaining-0005-c20d1c2e,戴尔笔记本PMP广告投放效果复盘与优化分析,分类,demand-side-platform-dsp,Demand Side Platform (DSP),,yes,3/3,0.63
cn-all-remaining-0006-9effbd05,汽车零部件制造企业5月生产成本明细核算及降本方案报告编制任务,分类,manufacturing-execution-system,Manufacturing Execution System (MES) Software,,yes,2/3,0.58
cn-all-remaining-0007-05d253cc,食品饮料行业月度研判、公司估值与投资观点输出任务,分类,financial-research,Financial Research Software,,yes,3/3,0.57
cn-all-remaining-0008-8a350880,多空动量策略历史回测,分类,financial-data-apis,Financial Data APIs,,yes,3/3,0.7
cn-all-remaining-0009-3a0514d6,financial_report_risk_warning,分类,financial-risk-management,Financial Risk Management Software,,no,2/3,0.43
cn-all-remaining-0010-01d05df5,基于 Jetson Orin NX Super 的四摄像头麦克纳姆轮小车车端运行栈开发,分类,iot-development-tools,IoT Development Tools,,yes,3/3,0.37
cn-all-remaining-0011-972a6a8b,基于机器学习势函数与 VASPKIT 能量-应变法的晶体材料弹性模量计算项目开发,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,2/3,0.67
cn-all-remaining-0016-0cee6d6b,绿氨合成的热力学平衡分析与操作窗口优化,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,3/3,0.55
cn-all-remaining-0017-e3ac6e4a,钢铁表面缺陷检测与质量评估,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,3/3,0.88
cn-all-remaining-0018-920bd0dc,丽江某房地产项目前期方案策划与分析,分类,urban-planning-and-design,Urban Planning and Design Software,,yes,3/3,0.48
cn-all-remaining-0019-034c6ce9,匿名化产品级贸易面板上的出口管制政策评估：从缺陷原始数据到可复现的因果推断交付件,分类,x-government-statistics-portal,Government Statistics / Open Data Portal — 官方统计与开放数据查询,,no,2/3,0.43
cn-all-remaining-0020-aa2698d8,基于脱敏企业产品台账的出口管制暴露识别与供应链风险分级。,分类,trade-compliance,Trade Compliance,,no,2/3,0.52
cn-all-remaining-0021-e1224663,受制裁主体交易对手筛查与所有权穿透判定：从别名噪声与股权登记到可复核的阻断决定,分类,anti-money-laundering,Anti-Money Laundering Software,,no,3/3,0.48
