品类,中文,参照产品,族内序号,一致度,另一票,任务名,判据,形态族,记录/来源,原文点名,行业,custom_id,我的判断
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,1,2/2,,Zenodo、DataCite 与 Software Heritage 科研软件发布谱系审计,Zenodo发布版本谱系,可检索档案库+详情页,科研软件发布版本记录,Zenodo,科研软件工程 / 学术元数据 /,cn-all-remaining-1187-c0c21c44,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,2,2/2,,电力系统稳定性预测管道,UCI 数据集详情页,数据集/资料仓库详情页,UCI ML Repository（Electrical Grid Stability Simulated Data）,Electrical Grid Stability Simulated Data Set, 电力工程,cn-all-remaining-0134-cd25fa80,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,3,2/2,,MNIST 手写数字识别管道,MNIST 标准数据集,数据集/资料仓库详情页,MNIST（LeCun/Cortes 官方数据集页）,MNIST,图像识别,cn-all-remaining-0136-025708d5,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,4,2/2,,森林覆盖类型预测管道,UCI Covertype 数据集,数据集/资料仓库详情页,UCI ML Repository（Covertype）,UCI Covertype,遥感,cn-all-remaining-0138-69bd676c,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,5,2/2,,银行营销订阅预测管道,UCI Bank Marketing 数据集,数据集/资料仓库详情页,UCI ML Repository（Bank Marketing）,UCI Bank Marketing, 营销分析,cn-all-remaining-0139-9b7aa92c,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,6,2/2,,德国逐小时电力负荷预测管道,OPSD 数据包仓库,数据集/资料仓库详情页,Open Power System Data,Open Power System Data,电力系统与负荷预测,cn-all-remaining-0142-0a9b052b,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,7,2/2,,Fashion-MNIST 服装图像分类管道,Fashion-MNIST 数据集,数据集/资料仓库详情页,Fashion-MNIST（Zalando Research）,Fashion-MNIST,计算机视觉,cn-all-remaining-0143-17a50046,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,8,2/2,,超导临界温度回归预测管道,UCI 超导数据集,数据集/资料仓库详情页,UCI ML Repository（Superconductivity Data）,UCI Superconductivity Data,计算材料学,cn-all-remaining-0146-83026528,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,9,2/2,,人类活动识别(HAR)分类管道,UCI HAR 数据集,数据集/资料仓库详情页,UCI Machine Learning Repository,UCI Human Activity Recognition Using Smartphones,可穿戴健康监测,cn-all-remaining-0149-4942e976,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,10,2/2,,北京 PM2.5 浓度回归预测管道,UCI PM2.5 数据集,数据集/资料仓库详情页,UCI Machine Learning Repository,UCI Beijing PM2.5, 空气质量监测,cn-all-remaining-0152-263ab951,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,11,2/2,,Adult Census 表格数据质量审计,UCI公开表格数据集,数据集/资料仓库详情页,UCI ML Repository (Adult Census),Adult Census Income,数据工程与数据治理,cn-all-remaining-0159-fc7402fc,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,12,2/2,,Fashion-MNIST 衣物图像十分类,Fashion-MNIST基准集,数据集/资料仓库详情页,Fashion-MNIST (Zalando Research),Fashion-MNIST,计算机视觉与机器学习,cn-all-remaining-0161-5575a6fd,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,13,2/2,,加州房价回归预测,加州房价基准数据集,数据集/资料仓库详情页,California Housing (StatLib/sklearn镜像),California Housing, 数据科学与机器学习,cn-all-remaining-0164-ac08314c,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,14,2/2,,MNIST 数字无监督聚类,MNIST基准数据集,数据集/资料仓库详情页,MNIST (OpenML mnist_784),MNIST,机器学习,cn-all-remaining-0167-883d33da,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,15,2/2,,AG News 新闻主题建模,AG News基准数据集,数据集/资料仓库详情页,AG News,AG News,NLP 与无监督文本分析,cn-all-remaining-0168-382cfa9c,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,16,2/2,,基于Cora的引文网络链接预测,Cora引文网络数据集,数据集/资料仓库详情页,Cora citation network (PyG/LINQS托管),Cora citation network dataset,图分析与数据科学,cn-all-remaining-0169-866f3425,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,17,2/2,,NASA C-MAPSS 涡扇发动机 RUL 预测,NASA仿真基准数据集,数据集/资料仓库详情页,NASA C-MAPSS (GitHub镜像),NASA C-MAPSS,预测性维护与可靠性工程,cn-all-remaining-0171-e39ad0aa,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,18,2/2,,共享单车逐时需求回归预测,UCI共享单车数据集,数据集/资料仓库详情页,UCI Bike Sharing Dataset,UCI Bike Sharing Dataset,数据科学与预测分析,cn-all-remaining-0173-475052f5,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,19,2/2,,滚动轴承振动故障诊断,CWRU轴承基准数据集,数据集/资料仓库详情页,CWRU Bearing Data Center,CWRU Bearing Dataset (Case Western Reserve University Bearing Data Center),可靠性与预测性维护,cn-all-remaining-0174-9d91f75b,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,20,2/2,,塞浦路斯逐小时电力负荷预测管道,OPSD版本化数据包,时序监测点/日志事件记录,Open Power System Data (time_series),Open Power System Data,电力,cn-all-remaining-0273-cd6dd51a,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,21,2/2,,意大利逐小时电力负荷预测管道,同OPSD电力数据包,时序监测点/日志事件记录,Open Power System Data (time_series),Open Power System Data,电力,cn-all-remaining-0274-baf882d4,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,22,2/2,,Metro 州际公路交通量递归多步预测管道,UCI仓库直接命中,时序监测点/日志事件记录,UCI Machine Learning Repository,Metro Interstate Traffic Volume,智能运输系统,cn-all-remaining-0275-5e80942a,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,23,2/2,,工业泵阀信号故障类型分类管道,SKAB基准数据集,时序监测点/日志事件记录,SKAB (GitHub),SKAB (Skoltech Anomaly Benchmark),工业预测性维护,cn-all-remaining-0277-aba735f6,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,24,2/2,,社交图链路预测,SNAP图数据集详情页,数据集/资料仓库详情页,SNAP (Twitch Gamers Social Network),Twitch Gamers Social Network,信息技术,cn-all-remaining-0282-dc05cea5,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,25,2/2,,FORGE 16A(78)-32 压裂微震监测三维数据集成与高质量图件绘制,FORGE GDR多源数据集,主体档案+关联事件时间线,Utah FORGE GDR,Utah FORGE,地球科学,cn-all-remaining-0306-324b959e,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,26,2/2,,Utah FORGE 78B-32井轨迹校正的FMI裂缝组系、P10强度与裂缝走廊联合解释,GDR测井裂缝数据,设备/资产台账+维护记录,Utah FORGE GDR,Utah FORGE,固体地球物理,cn-all-remaining-0308-1be316f2,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,27,2/2,,Buchwald-Hartwig 反应条件数据的可复算审计,HTE反应产率数据集,单表统计/观测数据下载门户,公开高通量反应产率数据集(Buchwald-Hartwig HTE),,化学信息学、实验数据质量审计与研,cn-all-remaining-0315-288a70d1,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,28,2/2,,零售客户复购预测管道,UCI公开数据集原文点名,主体档案+关联事件时间线,UCI Machine Learning Repository,UCI Machine Learning Repository,商业分析,cn-all-remaining-0345-a6224347,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,29,2/2,,CWRU 轴承故障诊断·跨工况泛化,CWRU公开数据集原文点名,单表统计/观测数据下载门户,CWRU Bearing Data Center,CWRU Bearing Dataset (Case Western Reserve University Bearing Data Center),振动数据分析,cn-all-remaining-0354-08d6b573,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,30,2/3,,整数链复形同调群计算与 Smith 标准形审计,Matrix Market矩阵集合,,Matrix Market,Matrix Market,科学类、数学家,cn-all-remaining-0840-777d7230,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,31,2/3,process-historian,工业泵阀多变量时序异常检测管道,SKAB GitHub基准数据集,数据集/资料仓库详情页,SKAB GitHub仓库,SKAB (Skoltech Anomaly Benchmark),工业预测性维护,cn-all-remaining-0210-a492a1f7,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,32,2/3,gov-statistics-portal,克罗地亚逐小时电力负荷预测管道,OPSD负荷时序数据集,时序监测点/日志事件记录,Open Power System Data,Open Power System Data,电力,cn-all-remaining-0251-9c900545,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,33,3/3,,PVDAQ实测光伏数据源尽调与运维对标样本库构建,PVDAQ系统清单筛选,单表统计/观测数据下载门户,PVDAQ光伏系统清单,NREL PVDAQ,工程类、新能源工程师,cn-all-remaining-0741-4360744e,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,34,3/3,,钢铁表面缺陷检测与质量评估,Kaggle缺陷图像数据集,,Severstal Steel Defect Detection (Kaggle),Severstal Steel Defect Detection,工业质检、机器视觉、表面缺陷检测,cn-all-remaining-0017-e3ac6e4a,
