排除类别,一致度,任务名,依据,原文点名来源,custom_id
合成夹具,2/3,二次元卡牌游戏通行证系统策划案,虚构游戏经济/资源数据为出题编造,,cn-all-remaining-0002-04d42ced
合成夹具,3/3,基于 OpenSim 4.3 的短跑起跑器设置 A/B 对比、前两步推进效率与肌肉需求分析,原文明示数值为程序构造非真实OpenSim,OpenSim 4.3,cn-all-remaining-0013-177a3250
合成夹具,2/2,球罐设计变更修订——湿硫化氢工况材质替代,参数表/材料数据为出题定制JSON，字段通用,,cn-all-remaining-0025-ed678805
合成夹具,2/2,球罐强度校核计算书复现——球罐开孔补强与支柱强度校核,校核任务单/reference.json为定制合成材料,,cn-all-remaining-0027-bfeb6744
合成夹具,2/2,预制钢筋可拼接下料模拟退火算法设计与生产方案导出,案例A/B.xls为脱敏定制排产案例数据,,cn-all-remaining-0037-7d5ccda9
合成夹具,3/3,面向用户的五子棋对战客户端与基于 MCTS 的简单人机模式开发,"规则与MCTS参考实现,出题合成包",,cn-all-remaining-0051-337ba9a8
合成夹具,3/3,外科术前二维 CT 分割与规划训练 Web 工具开发,"模拟CT病例材料,出题合成包",,cn-all-remaining-0052-d91396d1
合成夹具,3/3,开发可验证的傅里叶变换与 FFT 交互式教学平台,"傅里叶验证用例为出题合成,无来源系统",,cn-all-remaining-0053-cd373ca4
合成夹具,2/2,基于 HTML5 Canvas 的像素风坦克大战双人及人机对战客户端开发,规则/固定地图/验收局面为出题现编，非真实系统,,cn-all-remaining-0054-e21dc9ca
合成夹具,2/2,构建面向物理学家的牛顿迭代物理方程交互求解平台,物理方程与验收用例为出题构造，无真实来源系统,,cn-all-remaining-0056-f8c86a19
合成夹具,2/2,团队 PRD 标准化模板及示范文档制作,团队内部文档模板，非来自任何可检索系统,,cn-all-remaining-0069-0fc51497
合成夹具,2/2,SQLite 数据库事务提交修复与账户余额统计,"本地csv转sqlite脚本,无外部系统",,cn-all-remaining-0109-4cb28698
合成夹具,2/2,M3GNet 径向与三体基函数数值模块复现,"纯数学公式合成用例,无外部系统",,cn-all-remaining-0111-21b42612
合成夹具,2/2,M3GNet 风格晶体势函数能量、力、应力接口与结构弛豫流程复现,"确定性迷你势函数合成,无外部系统",,cn-all-remaining-0112-94e72782
合成夹具,2/2,市政道路工程竣工结算审核,现编造价审核文档集，无对应可检索软件界面,,cn-all-remaining-0126-67b61a90
合成夹具,2/2,基于声子模态热容加权的负热膨胀 Grüneisen 描述符计算程序,候选材料fixture+rule+contract三件套,,cn-all-remaining-0145-e95af7e1
合成夹具,2/2,基于热膨胀系数曲线的负热膨胀区间识别与稳健分类程序,候选材料fixture+rule+contract三件套,,cn-all-remaining-0147-8adc1dee
合成夹具,3/3,面向负热膨胀逆向设计的结构合理性与 XRD 新颖性筛选程序,固定候选表+screening_order规则，同系列已声明fake,,cn-all-remaining-0150-c71a0779
合成夹具,3/3,负热膨胀候选的 Grüneisen–声子稳定性–凸包能三目标 Pareto 决策程序,固定候选表+NSGA-II排序规则，同系列fake,,cn-all-remaining-0153-be2ba508
合成夹具,3/3,可恢复的负热膨胀材料逆向设计批任务编排与状态管理程序,明确声明确定性fake backend，非真实集群,,cn-all-remaining-0154-077b3b0c
合成夹具,2/2,科研材料数据库访问申请、下载配额与审计后台,"users/requests等通用字段,现编测试夹具非真实系统",,cn-all-remaining-0172-6856819c
合成夹具,2/2,random_csv_summary,"明确为出题编造的通用随机CSV,无领域含义",,cn-all-remaining-0189-d989a5b8
合成夹具,3/3,underwater_depth_control,"评测用参数集/模拟器,字段通用",,cn-all-remaining-0244-2e8ded33
合成夹具,3/3,静态资料下载路由实现与验证,原文明确称合成ZIP夹具，非真实系统数据,,cn-all-remaining-0258-e2a6a474
合成夹具,3/3,开发可验证的五子棋 GUI 与 MCTS 人机对战客户端,solver-visible需求+规则+局面包，无外部系统,,cn-all-remaining-0270-2b2cb5bf
合成夹具,2/3,环形基因组热图,无具名数据源，裸CSV文献图复现,,cn-all-remaining-0300-646973ab
合成夹具,2/2,    低水活度坚果谷物棒加速货架期建模、氧化失效判定与9个月标示放行核验    ,原文声明数据完全合成不对应真实企业,,cn-all-remaining-0331-a4f0c1fc
合成夹具,2/2,宏观动态因子模型与 GARCH-VaR 集成风险预测,契约+隐藏面板注入+固定数值自审计案例,,cn-all-remaining-0334-839d2c46
合成夹具,2/2,无套利仿射短利率、不规则现金流定价与Key-rate风险引擎,契约实现+隐藏评测器注入+内置自审计案例,,cn-all-remaining-0336-4dee3ef5
合成夹具,3/3,债券ETF做市报价参数标定与限额压力校验,做市规则+参数表为出题方自编无外部系统,,cn-all-remaining-0355-511b8d68
合成夹具,3/3,数据统计半环形组合图绘制,data.xlsx为出题方现编样本表无来源系统,,cn-all-remaining-0357-9d6f6ae8
合成夹具,3/3,环形热图与韦恩图组合图,基因表达data.xlsx为出题方现编无来源系统,,cn-all-remaining-0358-a36b0f21
合成夹具,3/3, XGBoost 回归模型训练并计算 SHAP 值，绘制特征重要性环形图,data.xlsx为出题方现编结构化表无来源系统,,cn-all-remaining-0365-375c7e55
合成夹具,2/2,多模型性能对比雷达图,data.xlsx裸表格无仓库线索，仅供作图,,cn-all-remaining-0368-6fa8f105
合成夹具,2/2,多模型回归性能对比与拟合优度分析图,data.xlsx裸表格训练本地回归模型，无仓库线索,,cn-all-remaining-0369-bbf80adf
合成夹具,2/2,多维度特征筛选环形图,simulated_binary_data裸表格无仓库线索，仅供作图,,cn-all-remaining-0371-8bb9b097
合成夹具,2/2,计算物理非线性方程求根可视化实验室,物理公式与验收用例构造，无外部数据系统,,cn-all-remaining-0378-b6193635
合成夹具,2/2,负热膨胀曲线离散区间统计与稳健候选筛选程序,固定候选曲线CSV为测边界情形而编，无仓库线索,,cn-all-remaining-0381-cef57a44
合成夹具,2/2,F-J变换震源频散成像与网格搜索定位算法开发,"合成波形数据,题目自编测试夹具",,cn-all-remaining-0384-5a0c687a
合成夹具,2/2,多窗频率-Bessel面波频散提取,"合成互相关数据,真值不公开自编",,cn-all-remaining-0385-44efd462
合成夹具,2/2,基于声子模态热容加权的负热膨胀 Grüneisen 描述符计算程序,"固定声子模态表,自编合成计算夹具",,cn-all-remaining-0386-c86d9cd1
合成夹具,2/2,区域阵列 f-k Bartlett 波束形成定位算法开发,预计算FFT为自编合成测试数据,,cn-all-remaining-0387-e17081aa
合成夹具,2/2,负热膨胀候选的三目标 Pareto 排序与稳健设计选择程序,候选目标表为题目自编合成数据,,cn-all-remaining-0388-8fa5bc07
合成夹具,2/2,Rayleigh波源密度函数(SDF)计算,"合成海浪波谱数据,自编夹具",,cn-all-remaining-0389-68b3c7e8
合成夹具,2/2,海浪压力场(p2l)主导周期时空分析,"p2l为预处理合成频谱,自编夹具",,cn-all-remaining-0390-6dee4f87
合成夹具,2/2,基于图连通性与八维 XRD 指纹的 NTE 候选闸门筛查器,预计算图与XRD指纹为自编夹具,,cn-all-remaining-0391-d4a9fbcb
合成夹具,2/2,DAS弹性波场正演与耦合响应分析,"config参数驱动自实现正演,合成夹具",,cn-all-remaining-0392-ba434732
合成夹具,2/2,带 SQLite 作业账本的 NTE Fake Backend 断点续跑调度器,"Fake Backend,虚构调度合成夹具",,cn-all-remaining-0393-6a01fe39
合成夹具,2/2,多租户微服务配置溯源、契约门禁与受控发布计划复核,输入/参考/原始为泛化压缩包，output_contract.json驱动,,cn-all-remaining-0445-75064ea0
合成夹具,2/2,近海风机塔筒监测控制器电气架构综合与可执行验证,xlsx/docx规格+CONTRACT.md驱动电气验证脚本任务,,cn-all-remaining-0447-8b6c01c6
合成夹具,2/2,车载通信与边缘计算单元结构方案级联合校核,xlsx/docx参数+CONTRACT.md驱动结构校核脚本任务,,cn-all-remaining-0448-dfc6984c
合成夹具,2/2,高密度信号处理整机热流—振动—BGA压紧多物理协同设计,任务书+JSON/MD契约驱动的多物理降阶模型脚本,,cn-all-remaining-0449-c6b07660
合成夹具,2/2,1500 V 浮地母线采样板绝缘协调与布局 DRC,docx边界+多CONTRACT驱动的DRC计算脚本,,cn-all-remaining-0450-cdd63c3c
合成夹具,2/2,HS-6000 硬件接口合同编译与可追溯软件需求工程,md硬件说明+CONTRACT驱动的合同编译脚本任务,,cn-all-remaining-0451-0d05beaf
合成夹具,2/2,玄枢-M4安全控制内核、通信协议与故障注入 HIL 验证,docx/xlsx接口+HIL_CONTRACT驱动的控制内核脚本,,cn-all-remaining-0452-5e88f7b8
